"Mean_Cover_1","SD_Cover_1","Mean_Leng_1","SD_Leng_1","Mean_Cover_5","SD_Cover_5","Mean_Leng_5","SD_Leng_5"
0.984,0.00396787096564392,27.9382431540823,0.0984356845538419,0.984,0.00396787096564392,27.973481409288,0.0944973471472269
0.99,0.00314642654451046,27.6774275422089,0.117120828547684,0.991,0.00298646948753876,27.973481409288,0.0944973471472269
0.994,0.00244213021765835,27.0405172387954,0.15422920987281,0.998,0.00141279864099595,27.973481409288,0.0944973471472269
0.976,0.00483983470792134,24.4685735243686,0.238549847416311,0.996,0.00199599599197994,27.973481409288,0.0944973471472269
0.957,0.00641490451994416,18.652626224433,0.296935851732916,1,0,27.9553078209986,0.0960894973278712
0.918,0.00867617427210864,12.2728583302591,0.236939607327142,1,0,27.7538071877685,0.113443073326311
0.913,0.00891240708226459,8.61060548733921,0.118558303046931,0.998,0.00141279864099595,26.7199901252036,0.174836378237524
0.912,0.00895857131466843,7.44173671867789,0.0617434423198084,0.991,0.00298646948753876,23.7556210831944,0.265908294286074
0.921,0.00852988862764339,7.08180822192231,0.0454075406878973,0.975,0.00493710441453288,18.2541900965099,0.315219627732943
0.94,0.00750999334220744,6.8993428216577,0.0403355022560427,0.975,0.00493710441453288,13.2448924219714,0.285385177980592
0.97,0.00539444158370447,6.8341158841908,0.0364917476802244,0.973,0.00512552436341883,9.98966001845155,0.215254887649669
0.975,0.00493710441453288,6.81157020875073,0.0341229759072454,0.98,0.00442718872423573,8.0603322247688,0.13148192724934
0.992,0.00281709069786544,6.83360466250126,0.032845012634416,0.983,0.00408790900094413,7.27647918867483,0.0824873507448228
0.991,0.00298646948753876,6.86899219119247,0.031609703722969,0.988,0.00344325427466518,6.93187188771247,0.055151383893504
0.991,0.00298646948753876,6.91472345285814,0.0307535694668804,0.988,0.00344325427466518,6.80833629545802,0.0387507145825964
0.998,0.00141279864099595,6.96767449800489,0.0307562188222763,0.992,0.00281709069786544,6.81437577598252,0.0368998020308547
0.997,0.00172945077987204,7.02560652558632,0.0310849257954307,0.992,0.00281709069786544,6.85624966102576,0.0369825371251244
0.989,0.00329833291224522,7.08552534870839,0.0318727385428822,0.984,0.00396787096564392,6.94282477693931,0.0392703234286568
0.984,0.00396787096564392,7.15002615272454,0.0326123704790911,0.978,0.00463853425124791,7.03594302525769,0.0408808134809355
0.983,0.00408790900094413,7.21116083087977,0.033767448280744,0.972,0.0052168956286282,7.17445291685884,0.0512946475227457
0.963,0.00596917079668525,7.2730191379152,0.0347618692827276,0.96,0.00619677335393187,7.38190310194611,0.06111028361522
0.958,0.00634318531969546,7.33873892361437,0.036399841422897,0.957,0.00641490451994416,7.76867247868086,0.0941904723845742
0.932,0.00796090447122687,7.40838548662142,0.0384237154590899,0.931,0.00801492358042171,8.20247365571853,0.119448724386436
0.907,0.00918428004799505,7.4865713121044,0.0407633008498293,0.911,0.00900438781928011,8.76835819237846,0.146267523077595
0.877,0.0103860964755773,7.54350414688468,0.0440544100946351,0.914,0.00886588969026797,9.53018717249969,0.173912141733986
0.842,0.0115341232870123,7.6084065337074,0.0473470947552958,0.88,0.0102761860629321,10.2751512232048,0.197580810681928
0.835,0.0117377595817941,7.66750972224037,0.0503748801293489,0.877,0.0103860964755773,11.2241424629331,0.222148766047345
0.786,0.0129693484801666,7.68456059015947,0.0540384839848292,0.845,0.0114444309600784,12.0984319582113,0.242226057998766
0.775,0.0132051126462443,7.69594158726882,0.0568340775728238,0.847,0.0113838042850358,12.7705898511519,0.253993000408201
0.728,0.0140718158032288,7.70280522046198,0.0602433269320934,0.816,0.0122533260790693,13.4032426858707,0.264600657758713
