"Mean_Cover_1","SD_Cover_1","Mean_Leng_1","SD_Leng_1","Mean_Cover_10","SD_Cover_10","Mean_Leng_10","SD_Leng_10"
0.856,0.0111024321659716,12.3054160385377,0.280706024673762,0.999,0.000999499874937461,33.4971926253866,0.0918144466520358
0.781,0.0130781879478772,7.5377162343316,0.0568450517007513,0.999,0.000999499874937461,33.4971926253866,0.0918144466520358
0.775,0.0132051126462443,6.7280221725105,0.0297706195057246,1,0,33.4971926253866,0.0918144466520358
0.77,0.0133078923951165,6.42847361630186,0.024853804952083,1,0,33.4971926253866,0.0918144466520358
0.804,0.0125532465920175,6.28474026500413,0.0221549028771426,1,0,33.4971926253866,0.0918144466520358
0.82,0.01214907403879,6.21427985560695,0.0200881205134276,1,0,33.4603939066573,0.0961803614927809
0.844,0.0114744934528719,6.19228543304795,0.0186034618870435,0.999,0.000999499874937461,32.1977405883567,0.193789322973195
0.877,0.0103860964755773,6.18276710328074,0.0171822465548078,0.994,0.00244213021765835,26.4272950379874,0.360045177123367
0.91,0.00904986187739901,6.19865783299916,0.0162246191676231,0.976,0.00483983470792134,17.2943333963408,0.389700222708602
0.951,0.00682634602111555,6.22978246200815,0.0153165076234055,0.979,0.00453420334788814,10.6317399596448,0.269402695666181
0.958,0.00634318531969546,6.27930870052805,0.0148350863421923,0.961,0.00612200947402077,7.7044362344943,0.141739162482745
0.973,0.00512552436341883,6.32229957787517,0.014291985606716,0.976,0.00483983470792134,6.64377299798695,0.058761298544107
0.99,0.00314642654451046,6.37264944146926,0.0140624121546983,0.984,0.00396787096564392,6.31015011010408,0.0458355663877198
0.994,0.00244213021765835,6.42731850111007,0.0138019254892036,0.987,0.00358203852575597,6.16024802723429,0.0440664238231824
0.998,0.00141279864099595,6.48286055473952,0.0136360841145604,0.988,0.00344325427466518,6.12427204231828,0.0357643529531624
0.995,0.00223047080231955,6.53615979802815,0.0136757228026628,0.986,0.00371537346709587,6.11822506338825,0.0346184086315543
0.991,0.00298646948753876,6.598738269484,0.0139825839802192,0.985,0.00384382621875652,6.15450025997667,0.0336655862957696
0.985,0.00384382621875652,6.66492312591823,0.0144504520311189,0.975,0.00493710441453288,6.22176401842894,0.0321031489293883
0.983,0.00408790900094413,6.72793721570888,0.0148374160154561,0.967,0.00564898220921256,6.41430385250791,0.0332947968731013
0.976,0.00483983470792134,6.79130419164961,0.0154325645518496,0.963,0.00596917079668525,6.55867556724523,0.034517925075954
0.959,0.00627048642451286,6.85505682486634,0.0161585519622033,0.944,0.00727076337120113,6.77061582357064,0.0366376203905244
0.94,0.00750999334220744,6.91763562791242,0.0168590537471771,0.938,0.00762600813007697,7.04940019705882,0.0424551722509087
0.927,0.00822623850857729,6.99444516500558,0.0177112865162688,0.923,0.00843036179532053,7.39704464148367,0.0556761837243328
0.898,0.00957057991973318,7.05346375744472,0.0187792689563878,0.906,0.00922843432007835,7.90080183260828,0.0935670414968924
0.863,0.0108734079294396,7.12290582625355,0.0197935067339874,0.891,0.00985489725973843,8.38350091352723,0.118675240370108
0.853,0.0111978122863352,7.19186702354036,0.0210168675428994,0.895,0.00969407035254026,9.21886919021253,0.164733607912207
0.814,0.01230463327369,7.25830118527837,0.0221888718376025,0.867,0.0107382959542006,10.1387253838428,0.205174044287978
0.779,0.0131209374665075,7.31949955579602,0.0235058800065517,0.862,0.0109066951914867,11.2184948685113,0.240619340700694
0.783,0.0130349913693872,7.38918297586359,0.0249984267579811,0.865,0.0108062481925967,12.6424359298771,0.282719579550824
0.734,0.0139729739139526,7.45178519276333,0.0265538381536396,0.852,0.0112292475259921,13.3487098517101,0.294963612679632
