"Mean_Cover_1","SD_Cover_1","Mean_Leng_1","SD_Leng_1","Mean_Cover_20","SD_Cover_20","Mean_Leng_20","SD_Leng_20"
0.843,0.0115043904662524,11.9451274139468,0.26400148835955,0.997,0.00172945077987204,33.4879974788709,0.0909220605502825
0.79,0.0128802173894698,7.71035194539957,0.076839903639947,0.999,0.000999499874937461,33.4879974788709,0.0909220605502825
0.766,0.0133882037630147,6.78821973579713,0.0286774036477534,0.999,0.000999499874937461,33.4879974788709,0.0909220605502825
0.788,0.0129250145067617,6.47950059334702,0.0243082866025054,1,0,33.4879974788709,0.0909220605502825
0.783,0.0130349913693872,6.30809494579203,0.0220716536948307,1,0,33.4879974788709,0.0909220605502825
0.813,0.0123300851578568,6.23337004080096,0.0197391783049469,0.999,0.000999499874937461,33.3643906380021,0.105945626157565
0.848,0.0113532374237483,6.20428591163495,0.0181523470946516,0.997,0.00172945077987204,32.0047963049808,0.204677625915243
0.882,0.0102017645532525,6.21080159388111,0.0169142432780254,0.984,0.00396787096564392,26.5915102494492,0.358704371102813
0.927,0.00822623850857729,6.22550002898033,0.0159717554218986,0.98,0.00442718872423573,17.2421925179888,0.388983900568678
0.931,0.00801492358042171,6.25604913034417,0.0150052095322692,0.965,0.00581162627841812,10.7149648261299,0.27435161419758
0.974,0.00503229569878401,6.29702221526872,0.0144444046811216,0.97,0.00539444158370447,7.66104034619404,0.138543628546854
0.974,0.00503229569878401,6.34403548265463,0.0140283024944725,0.97,0.00539444158370447,6.62922934735456,0.0675374371657487
0.983,0.00408790900094413,6.38817333658776,0.0138832294578484,0.979,0.00453420334788814,6.25004412805622,0.0362079892795175
0.995,0.00223047080231955,6.44611285354631,0.0136904788308815,0.98,0.00442718872423573,6.1540724725729,0.0356089714386599
0.994,0.00244213021765835,6.50092931168336,0.013570960782464,0.98,0.00442718872423573,6.10753517780774,0.0325504953008875
0.996,0.00199599599197994,6.56534777247943,0.01380730091654,0.985,0.00384382621875652,6.09796298664794,0.0346492514355945
0.994,0.00244213021765835,6.62206050072593,0.0140844557843348,0.979,0.00453420334788814,6.14870486458642,0.032311625448609
0.99,0.00314642654451046,6.68237341510642,0.0146085446980047,0.979,0.00453420334788814,6.28608444749815,0.0332027164599161
0.989,0.00329833291224522,6.74925249868958,0.0153262379565065,0.978,0.00463853425124791,6.38776029182795,0.0336304487458319
0.973,0.00512552436341883,6.82104393928809,0.0160464648656976,0.961,0.00612200947402077,6.53141968075622,0.0354762343612755
0.953,0.00669260786241059,6.88405389323508,0.0169708216073183,0.952,0.00675988165576884,6.72760299578205,0.0364723742167622
0.945,0.00720936890441875,6.95593035240539,0.0180253677957105,0.942,0.00739161687318817,6.98334170205483,0.0394789139118688
0.924,0.00837997613361756,7.01993604892872,0.0188836402399963,0.933,0.00790638982089803,7.33835565813072,0.0576209888083346
0.9,0.00948683298050514,7.09267222117774,0.0199696830350121,0.91,0.00904986187739901,7.87848118350222,0.0991911775002372
0.878,0.0103496859855746,7.16388032012176,0.0210993669215227,0.89,0.00989444288477123,8.26931716250319,0.113084007440464
0.85,0.0112915897906362,7.23004947752981,0.022364034747081,0.879,0.0103130499853341,9.13850870371683,0.161944110723095
0.813,0.0123300851578568,7.30344952076624,0.0237918016210606,0.866,0.0107723720693262,10.144978245659,0.207997171111821
0.809,0.0124305671632472,7.36611510587422,0.0249997990552564,0.877,0.0103860964755773,11.2435096925436,0.242731822247021
0.76,0.0135055544129073,7.43969993360486,0.0266507938271045,0.854,0.0111661989951818,12.2289626878077,0.271872520021803
0.754,0.0136192510807313,7.49410827391409,0.0280375008060283,0.862,0.0109066951914867,13.5682897065262,0.304506936566782
