"Mean_Cover_1","SD_Cover_1","Mean_Leng_1","SD_Leng_1","Mean_Cover_10","SD_Cover_10","Mean_Leng_10","SD_Leng_10"
0.973,0.00512552436341883,27.5593349680272,0.274395161338242,0.996,0.00199599599197994,31.52691185365,0.0975008282999075
0.903,0.00935900635751467,17.0484416031637,0.34162918407834,1,0,31.5011397349916,0.100762291797459
0.819,0.0121753439376471,8.84985282236186,0.145898879288594,0.998,0.00141279864099595,31.52691185365,0.0975008282999075
0.803,0.0125774003673255,7.02563177844003,0.0374520780988622,0.999,0.000999499874937461,31.52691185365,0.0975008282999075
0.815,0.0122790471943062,6.61137587839004,0.0310732664171135,1,0,31.52691185365,0.0975008282999075
0.815,0.0122790471943062,6.41153144073882,0.0282598138088564,1,0,30.7522452502644,0.15846553642066
0.855,0.0111344061359374,6.31276880400681,0.0253602327480468,0.989,0.00329833291224522,26.3894442092199,0.309945059079408
0.886,0.0100500746265886,6.27321623108584,0.023238059044655,0.969,0.00548078461536303,18.0634063891388,0.36350365083432
0.914,0.00886588969026797,6.25669361067776,0.0217147448021701,0.965,0.00581162627841812,11.0929927166989,0.264563933820792
0.937,0.00768316341099159,6.28453924968226,0.0207513367495843,0.947,0.00708456067798138,7.93870059590519,0.148747326400253
0.961,0.00612200947402077,6.31332257799194,0.0199087979298365,0.959,0.00627048642451286,6.74017612043212,0.0547031383319774
0.964,0.00589101010014412,6.35166730331471,0.0192625186803216,0.967,0.00564898220921256,6.39530530830714,0.0349346039736635
0.982,0.00420428352992517,6.39730904047642,0.0187549904938307,0.977,0.00474035863622153,6.25753220376191,0.0316737477636255
0.995,0.00223047080231955,6.4536563113501,0.0183699631889805,0.989,0.00329833291224522,6.17306313342155,0.0283867710007058
0.993,0.00263647491928143,6.50673717956293,0.0182106458489171,0.99,0.00314642654451046,6.17686311719383,0.0267481748831572
0.995,0.00223047080231955,6.56371616030648,0.0182736781828767,0.986,0.00371537346709587,6.19507521230329,0.025796407631445
0.988,0.00344325427466518,6.62500118499948,0.0185196120708183,0.984,0.00396787096564392,6.25345150585069,0.0260093265800663
0.994,0.00244213021765835,6.68610982449008,0.0188107856117254,0.987,0.00358203852575597,6.32165580318897,0.0261835395767526
0.983,0.00408790900094413,6.74973614165077,0.0193294704034056,0.98,0.00442718872423573,6.41948532026668,0.0269703457757168
0.963,0.00596917079668525,6.81646187098317,0.0201262794771133,0.95,0.00689202437604511,6.55265289018829,0.0291260118524423
0.964,0.00589101010014412,6.87382287102882,0.0209252142925681,0.942,0.00739161687318817,6.68912580706334,0.0313382779299934
0.938,0.00762600813007697,6.94654117511296,0.0217515083618263,0.92,0.00857904423581089,6.82613279476082,0.0331030916582186
0.919,0.00862780389206894,7.01495941261965,0.02298001737537,0.925,0.00832916562447884,7.01830070531558,0.042667848379912
0.901,0.00944452222190196,7.07847676746192,0.0242758008287055,0.91,0.00904986187739901,7.2326882680085,0.0493859546675868
0.866,0.0107723720693262,7.14728430352379,0.0255026487965525,0.862,0.0109066951914867,7.48545840675517,0.0580899717384098
0.842,0.0115341232870123,7.22183333134101,0.0269652371425067,0.852,0.0112292475259921,7.95571438383928,0.0980080297546673
0.823,0.0120694241784768,7.29175268689775,0.0284371363048424,0.86,0.0109726933794762,8.46264779740062,0.128199610829851
0.812,0.0123554036761249,7.35658613852889,0.0300773999157159,0.839,0.0116223491601311,9.07044341893407,0.158059267223815
0.779,0.0131209374665075,7.42637986178921,0.0324780346444089,0.807,0.0124800240384384,9.69296362477551,0.18822562538831
0.755,0.0136005514594078,7.47555714766667,0.0345757985196735,0.808,0.0124553602918583,10.2721208301045,0.209755751083961
