"Mean_Cover_1","SD_Cover_1","Mean_Leng_1","SD_Leng_1","Mean_Cover_10","SD_Cover_10","Mean_Leng_10","SD_Leng_10"
0.978,0.00463853425124791,27.8906593233033,0.103935604373699,0.979,0.00453420334788814,27.9287256115153,0.100532305236504
0.989,0.00329833291224522,27.6310707208094,0.12410476086018,0.99,0.00314642654451046,27.9287256115153,0.100532305236504
0.986,0.00371537346709587,26.9986090727962,0.16057638729531,0.991,0.00298646948753876,27.9287256115153,0.100532305236504
0.98,0.00442718872423573,24.4385306439148,0.241699595433364,0.998,0.00141279864099595,27.9287256115153,0.100532305236504
0.947,0.00708456067798138,18.5851217207905,0.299460878116172,1,0,27.8934205446031,0.103060049612249
0.919,0.00862780389206894,11.5412130450531,0.221822603089259,0.999,0.000999499874937461,27.7026245564112,0.119502959660035
0.898,0.00957057991973318,8.34880024222854,0.109383068020246,1,0,26.6420640843171,0.179686602301448
0.921,0.00852988862764339,7.31030703592722,0.0510746469432653,0.99,0.00314642654451046,23.5651313444916,0.264168455303806
0.931,0.00801492358042171,6.96578859902279,0.0440713251281361,0.982,0.00420428352992517,18.1154041189778,0.313700057628694
0.943,0.00733150734842434,6.81052768829318,0.0399840611050415,0.976,0.00483983470792134,13.1788761910685,0.280907252101773
0.965,0.00581162627841812,6.7679755592862,0.0378638398010495,0.976,0.00483983470792134,9.97341187493837,0.210854338196572
0.982,0.00420428352992517,6.75317169140843,0.0363903781761732,0.982,0.00420428352992517,8.16683532383699,0.138568617314619
0.984,0.00396787096564392,6.75104430338653,0.02969277786077,0.985,0.00384382621875652,7.35902792394636,0.0887962974988288
0.99,0.00314642654451046,6.7762991195568,0.0290654604117513,0.991,0.00298646948753876,7.10029666649863,0.0716383652467887
0.992,0.00281709069786544,6.81799720366837,0.0286077626493309,0.99,0.00314642654451046,6.97955763056298,0.0640548378487043
0.994,0.00244213021765835,6.86542345357197,0.0285169854595529,0.994,0.00244213021765835,6.8752044338662,0.0401817842754366
0.992,0.00281709069786544,6.90709222978547,0.028798448106947,0.987,0.00358203852575597,6.90350760657515,0.0394217243755538
0.988,0.00344325427466518,6.9591794666303,0.0292966356234927,0.987,0.00358203852575597,6.98438746736562,0.0479383483176955
0.988,0.00344325427466518,7.01245485110599,0.0303021733041667,0.975,0.00493710441453288,7.06692291425884,0.0525046533908363
0.978,0.00463853425124791,7.06768389935844,0.03158416322382,0.977,0.00474035863622153,7.20856358919744,0.0563653091409796
0.958,0.00634318531969546,7.11769100667772,0.0332948291337847,0.946,0.00714730718522718,7.48772229839203,0.0758002478343363
0.957,0.00641490451994416,7.18268487449159,0.0350240992166256,0.951,0.00682634602111555,7.76728143193464,0.0924479997519524
0.91,0.00904986187739901,7.24631104906751,0.0375125428547461,0.92,0.00857904423581089,8.30075130011144,0.124680218552697
0.899,0.00952885092757778,7.30995038932823,0.0399274110298775,0.915,0.00881901355027874,8.93230925772365,0.153760545783182
0.875,0.0104582503316759,7.38695993825657,0.0428183055824062,0.908,0.00913980306133562,9.84625298424417,0.192415050843598
0.833,0.01179453263169,7.44397577727431,0.045657298126643,0.886,0.0100500746265886,10.5157950455846,0.211531860341206
0.806,0.0125045591685593,7.48477064176933,0.0485870460777743,0.855,0.0111344061359374,11.405099365034,0.234756806369731
0.78,0.0130996183150503,7.48581297848809,0.0509337715112095,0.852,0.0112292475259921,12.1468946597751,0.249962454534835
0.761,0.0134862522592453,7.51723934661166,0.054651294529523,0.846,0.0114142016803629,12.7758320199422,0.257747867935055
0.714,0.0142899965010493,7.51950963853833,0.0565635809415812,0.842,0.0115341232870123,13.2803505581197,0.268733977944609
