"n=100_coverage","n=100_length","n=100_sd","n=300_coverage","n=300_length","n=300_sd","n=500_coverage","n=500_length","n=500_sd"
0.9096,20.344723273389,0.350183013776692,0.9074,16.7554062737226,0.281090089953612,0.8956,14.7191851529324,0.14727376379482
0.9084,18.9445177813274,0.315076009495462,0.9036,15.9941335808685,0.256793348680166,0.8936,14.1613420345544,0.102521503384573
0.9072,18.7263282320345,0.311801576305597,0.9028,15.9253296524261,0.257576320828633,0.893,14.0960368520288,0.102297277851309
0.9056,18.5199140492856,0.30771293632976,0.905,15.8890274635576,0.256226700474609,0.894,14.064958178879,0.0950635116054419
0.9066,18.4890903294269,0.307241423552239,0.9048,15.8711527522313,0.25635861767035,0.894,14.0572567759715,0.0948759463743864
0.9074,18.4566583748435,0.305277495199455,0.9058,15.8435478452342,0.254927430235492,0.8934,14.0341468795986,0.0926814064234476
0.9076,18.416423908473,0.305382743366117,0.9056,15.8298636984801,0.255098105482527,0.894,14.0122618005405,0.088746763821942
0.9064,18.3961089654943,0.304453987951602,0.9056,15.8172234601757,0.255687863745455,0.8926,14.0062914207021,0.088608378977991
0.9062,18.3677717656966,0.303429655357319,0.9052,15.8110256737875,0.255394903191881,0.8928,14.0014184553965,0.0878383772123403
0.9074,18.3580466969454,0.302916840753078,0.905,15.8050160901677,0.255536747298594,0.8928,14.0099526717922,0.0913183029085616
