cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
0,42.00344305,1,31.79475933,1,28.01973991,1,30.53839715,1,23.42446603,1,23.73522554,1,26.12238501
1,40.13688312,1,29.66587964,1,20.21003255,1,20.74181576,1,28.78166467,1,22.1657179,0,21.16261846
1,28.53551407,1,27.67537049,1,24.67023843,1,21.67419132,1,24.27433666,1,23.64441762,1,23.84586867
1,49.94193079,1,25.75612786,1,25.24091675,1,30.93821183,1,22.99003022,1,24.87338063,1,22.01271493
1,32.38072222,1,27.08897181,1,29.09491525,1,21.82655889,1,25.75372274,0,23.75287762,1,29.8602572
1,32.27559531,1,33.34918727,1,30.75012664,1,21.79690232,1,21.31823222,1,27.24681592,1,20.95264428
1,60.20527403,1,30.05171757,1,28.69325919,1,27.79115423,1,28.87364117,1,22.58145132,1,24.02348477
1,42.82773989,1,35.56288742,1,37.43284589,1,24.60253109,1,25.33982205,1,23.00879791,1,23.50855938
1,40.67986653,1,30.08707051,1,33.52496972,1,28.64862196,1,29.7083611,1,22.99873662,1,23.22795412
1,31.34763073,1,35.06968205,1,38.75889211,1,20.63050401,1,31.4590398,0,21.3438771,1,31.43701879
1,61.35710291,1,29.4491842,1,23.79015426,1,21.48324631,1,22.6927151,1,28.90778125,1,21.82702898
1,38.28628046,1,34.96828886,1,22.560139,1,28.7293601,1,20.55457413,1,29.46216138,1,30.48251586
1,51.27325702,1,26.75684008,1,23.31845914,1,22.87635557,1,20.80779123,1,24.21591453,1,23.33674063
1,39.78641452,1,30.48203499,1,29.59907256,1,24.34581521,1,30.87322764,1,25.81263509,1,25.28756996
1,52.58851282,1,32.5998145,1,21.08411237,1,25.07223369,1,28.8302887,1,24.04664987,0,23.2277491
1,47.57563098,1,34.19832985,1,34.31138958,1,30.09016126,0,31.22748739,1,32.6228252,0,22.37689012
1,34.73635535,1,28.66545376,1,24.71544414,1,28.51535801,1,21.06771487,1,20.90077677,1,25.35345529
