"Homo_cov","Homo_len","Heter_cov","Heter_len","Asym_cov","Asym_len","Bimo_cov","Bimo_len","Bimo-fix_cov","Bimo-fix_len"
0,6.16621951329487,0,13.5484616003942,0,11.4041279045784,1,27.6950545132161,1,27.1294124343095
0,5.94215499205452,0,13.0561454323612,1,12.0989532860492,1,27.6362455758116,1,27.071804607002
0,6.56070329599722,1,14.415224188135,1,11.5858376860571,1,25.7304207763416,1,25.2049042552557
0,6.25827418618856,1,13.750724785827,1,11.7164033588045,1,27.4210400140437,1,26.8609943903053
0,6.06502130635279,0,13.326108176578,1,11.8529050669682,1,28.1255695385881,1,27.5511346474545
0,5.79454878353838,0,12.5375182696637,1,10.9330279146439,1,27.0342142706713,1,26.5476868217189
1,6.18345872660679,1,13.3789928518307,0,10.9247269280579,1,27.1591748258942,1,26.6703984955967
0,5.83843507730119,0,12.6324739306467,1,10.6260980264625,1,27.126526373823,1,26.6383376088951
1,5.85942763435278,1,12.6778949940277,0,10.8423593508535,1,26.0862417337271,1,25.6167746903577
0,5.55733392513064,1,12.0242624956211,0,10.919127561522,1,26.0418712634561,1,25.5732027434503
0,6.39995887995641,0,13.3619773818736,1,11.9843831063108,1,26.5543301439699,1,25.9584737473763
0,6.30191563116498,0,13.1572804928203,1,11.4494383767032,1,27.2417854818923,1,26.6305031770475
1,6.38083487919821,1,13.3220498650919,1,11.6581363167615,1,26.7721133032483,1,26.1713700393219
1,6.25076671721376,1,13.0504906455505,1,11.1979724284155,1,25.8159055349486,1,25.2366187533406
1,6.44586640924176,1,13.4578241489348,1,11.3560240194782,1,26.5456580533351,1,25.9499962510185
1,5.84691079491932,1,13.0637786344463,1,8.51886105020996,1,25.1032263377112,1,24.64889589324
1,5.68496441154307,1,12.70194111421,1,8.77086667918544,1,25.7101509857435,1,25.2448361227203
0,5.83079532052527,0,13.0277717587717,1,8.50664224015615,0,26.3477130188068,0,25.8708592468815
1,5.78889227051819,1,12.934147588915,0,8.8110062378862,1,27.1804788278194,1,26.6885532537656
0,5.99935703372454,1,13.4043899396737,0,8.55490174399027,1,25.7339359398113,1,25.2681906050787
0,5.76858857390264,1,13.2400401488044,1,12.1472591454108,1,25.886179646818,1,25.4241340650887
1,5.5496464797039,1,12.7375251782328,0,11.7489360300934,1,26.8376657353384,1,26.3586369622199
1,5.83797340370918,1,13.3992919173415,1,12.0144061782871,1,26.62183393391,1,26.1466575689726
0,5.75155792896125,1,13.2009514844119,0,12.1672740459948,1,26.1158716066137,1,25.6497262250442
0,5.70896926921211,0,13.1032021722988,1,11.8043135918668,1,26.2659774199276,1,25.7971527813653
0,6.10029599621118,1,12.5634863915957,1,10.2888635469515,1,27.4284900243448,1,26.9060026030961
1,6.23851720659134,1,12.8481513155141,1,10.1985343189407,1,26.8421885809,1,26.3308696610522
1,6.05756833854705,1,12.4754892934318,1,10.2833601715167,1,28.5184340306637,0,27.9751841820024
1,6.27797740622654,1,12.9294191230819,0,9.81477891029254,1,25.7019296841388,1,25.212331643931
1,6.38571057493462,1,13.1512942910783,0,10.392891653549,1,27.1864446058379,1,26.6685679264284
0,6.22125431722406,1,13.6212853140899,1,12.7582972826859,1,26.7530541584401,1,26.0254009130963
1,6.133156617344,1,13.4283975386683,1,12.6475899055933,1,26.6879642891504,1,25.9620814156807
1,6.20865225401249,1,13.5936934025881,1,12.4174096591342,1,26.674911507784,1,25.9493836554145
0,6.1302334241888,1,13.421997278212,1,12.4377109284329,1,26.8744513535205,1,26.1434962398199
1,6.22794647366869,1,13.6359376281814,0,11.928428426866,1,26.0437225104026,0,25.3353622950307
0,6.08385283371816,1,12.9736182152727,1,10.4700785600482,1,25.6266917365814,1,25.323931745704
1,6.01953537060457,1,12.8364633179046,1,9.71894939473565,1,26.8797229650208,1,26.5621593573835
