cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,36.81339494,1,32.46666524,0,24.17711936,1,35.01612172,1,24.68732207,1,22.49935877,0,24.36378265
1,37.46382157,1,32.39774085,1,25.14493165,1,25.700393,1,25.95048715,1,25.59026432,1,24.44445573
1,35.19042333,1,30.98348948,1,30.18747295,1,35.19471828,1,22.90980234,1,28.64745249,1,30.34423645
1,34.2683351,1,27.4857037,1,30.44303601,1,29.47881927,1,24.86169252,1,30.34462546,1,30.6668751
1,35.04639962,1,29.71805422,1,28.47066046,1,24.48615251,1,22.93104564,1,22.97585448,1,26.97135318
1,28.85573936,1,33.34796637,1,24.69196208,1,29.65313853,1,28.21421065,1,35.23530949,1,24.91865653
1,34.27585806,1,30.7597695,1,26.24057609,1,25.63493752,0,25.11372582,0,27.35664354,1,27.31991447
1,40.24717833,1,34.25468787,1,32.5577782,1,29.82141259,1,24.84379049,1,23.57064166,1,23.64202648
1,40.05449111,1,30.1128337,1,23.9577242,1,27.99918267,1,30.63690646,1,22.23060886,0,29.97096677
1,41.21171898,1,30.31107552,1,23.78492159,1,30.18769162,1,25.80491579,1,26.32047676,1,29.61388346
1,42.10321942,1,27.39524163,1,23.21602581,1,32.74203918,1,24.8670491,1,22.6952396,0,22.78950757
1,35.56886621,1,34.7671855,1,25.69788186,1,24.06659572,0,23.37864219,1,29.86889097,1,26.93222127
1,36.94081602,1,29.3666442,1,43.41622423,0,29.16297136,1,24.30881299,1,24.06745635,1,29.39844864
1,33.88026321,1,28.94539521,1,29.60486153,1,23.89591584,0,25.20739593,0,22.88799003,1,23.95403943
1,39.723772,1,32.08883722,1,28.04128339,1,25.4796277,1,29.92374226,1,26.74568147,1,25.64288231
1,37.61694649,1,32.34862094,1,34.9116794,1,24.6475552,1,23.91467054,1,26.34249941,1,24.73818804
1,33.79418481,1,31.51232607,1,25.29924286,1,27.89459462,1,25.28802839,1,26.83979459,1,26.84554364
1,38.91229624,1,31.08388454,1,23.75823625,1,37.71154804,1,21.3529948,1,24.05629732,1,23.8524666
1,39.84064234,1,34.17463654,1,26.40617866,1,25.7248046,1,25.90396474,1,25.71156472,1,24.84620963
1,37.09394256,1,34.59601309,1,27.57524127,1,25.65654762,1,24.65334764,1,35.7305194,1,25.04992291
1,39.20713922,1,29.70105753,1,28.3172582,1,24.15573386,1,23.24423212,1,30.43092091,1,24.29577727
1,36.47901413,1,27.28683754,1,27.29337856,1,24.51598651,0,25.14219761,1,24.41575326,1,25.76430953
1,39.00686472,1,32.41014576,1,34.08223241,0,27.18866616,1,23.3481734,1,26.29392574,1,23.91371079
1,37.27035933,1,28.85912667,1,24.61088326,1,28.96275346,1,22.44774476,1,26.53736146,1,21.41850159
0,40.70100077,1,28.8093267,1,28.80224014,1,23.55409839,1,25.4800843,1,25.41489878,1,24.70282301
