"n=100_coverage","n=100_length","n=100_sd","n=300_coverage","n=300_length","n=300_sd","n=500_coverage","n=500_length","n=500_sd"
0.9108,21.0927016372093,0.369289530099281,0.9068,16.6599922522967,0.294773089039147,0.8942,14.6988297517415,0.145262761003495
0.902,18.1337679916955,0.306241477220136,0.9032,15.3951171335301,0.247449380493722,0.8938,13.8709408357735,0.0834332794616388
0.9002,17.7282373719152,0.301052350997633,0.901,15.2224443297381,0.248768758739237,0.894,13.6870253015702,0.0682352855178672
0.9066,17.3168600501678,0.292095247475794,0.898,14.9939952916362,0.243234333646333,0.8912,13.5969625900387,0.0639302218197158
0.9016,17.3401228735659,0.292669504050991,0.9,14.9926267972029,0.243563484663967,0.8902,13.5437546246892,0.0638516893163454
0.9036,17.2385862189246,0.291704472414867,0.9016,14.9740199768429,0.243848270896188,0.8902,13.5305514828806,0.0630246900312413
0.9062,17.2465181554826,0.290941847503253,0.899,14.9471505963474,0.24311290398158,0.8922,13.5124765861464,0.0633489255190296
0.9058,17.2746472296282,0.290487891871167,0.8996,14.9780902647704,0.244152626121193,0.8924,13.5154063213758,0.063278348456648
0.9078,17.3468069342659,0.290091359334235,0.8994,15.0026011020939,0.244479663667942,0.8914,13.5318963949325,0.0637906192002206
0.907,17.2908793884786,0.289922100668403,0.9004,14.9436980940593,0.242315166004508,0.8922,13.5289128751726,0.0616956911860714
